Institution ID,Institution Name,City,State/Province,Country
1,Sichuan Normal University Chengdu College,Chengdu,Sichuan,China
2,Soochow universuty,Suzhou,,China
3,Capital University of Economics and Business,Beijing,,China
4,Zhejiang University of Finance and Economics,Hangzhou,Zhejiang,China
5,Nanjing University of Information Science & Technology,NanjingJiangsu Province,,China
6,TianJin University,TianJin China,TianJin,China
7,Shandong University Of Science And Technology,Qingdao,Shandong,China
8,Zhejiang University,Hangzhou Zhejiang Province,,China
9,Zhengzhou University,Zhengzhou,Henan,China
10,Southeastern Oklahoma State University,Durant,OK,USA
11,Beijing University of Technology,Beijing,,China
12,undergraduate,hangzhou,zhejiang,China
13,University of Richmond,RIchmond,VA,USA
14,University of Wisconsin-Stevens Point,Stevens Point,WI,USA
15,Beijing University of Aeronautics and Astronautics,Beijing,,China
16,Shaanxi University of Technology,HanZhong,Shaanxi,China
17,Dongguan University of Technology,Dongguan,Guangdong,China
18,Trinity,San Antonio,TX,USA
19,Huaihai Institute of Technology,Lianyungang,Jiangsu,China
20,Institute of Digital media technology; Northeastern University,Shenyang,Liaoning,China
21,East China University of Science and Technology,Shanghai,,China
22,.Renmin University of China,Beijing,Beijing,China
23,Xiamen University,Xiamen,Fujian Province,China
24,Missouri Southern State University,Joplin,MO,USA
25,Ningbo University,Ningbo,Zhejiang,China
26,University of Macau,Macau,Macau,China
27,ShanDong University,Jinan,Shandong Province,China
28,Tongji University,Shanghai,Shanghai,China
29,Central University of Finance and Ecomomics,Beijing,Beijing,China
30,Zhengzhou University of Light Industry,Zhengzhou City,Henan province,China
31,Beijing Institute of Technology,BeiJing,BeiJing,China
32,China University of Petroleum,Qingdao,Shandong,China
33,Shenyang Jianzhu University,shenyang,Liaoning,China
34,South China Normal University,Guangzhou,Tianhe,China
35,East China Normal University(China),ShanghaiChina,Shanghai,China
36,Wuhan University,Wuhan,Hubei,China
37,Shijiazhuang University,Shijiazhuang,Hebei,China
38,WUHAN TEXTILE UNIVERSITY,WUHAN,HUBEI,China
39,Naval Aeronautical Engineering Institute Qingdao Campus,Qingdao,Shandong,China
40,Nankai university China,Tianjing,Tianjing,China
41,Wuhan Univ,Wuhan,Hubei,China
42,Information Engineering University,Zhengzhou,Henan,China
43,Shijiazhuang University,Shijiazhuang,Hebei Province,China
44,Jilin University,Changchun,Jinlin,China
45,The University of Texas at Dallas,Richardson,TX,USA
46,Beihang Univeristy,Haidian,Beijing,China
47,NORTH CHINA INSTITUTE OF SCIENCE AND TECHNOLOGY,BEIJING,BEIJING,China
48,Officers College Of CAPF,ChengDu,SiChuan,China
