Team Number,Advisor,Problem,Ranking,Institution ID
Xi'an,Junmin Zhang,C,Honorable Mention,1662
Tianjin,hongjun li,B,Successful Participant,91
Xi'an,Zhenhua Liu,C,Honorable Mention,579
Tianjin,luoyi Shi,B,Honorable Mention,91
Dalian,Linlin Tian,B,Successful Participant,640
Hangzhou,Weiwei Qu,D,Honorable Mention,986
Hangzhou,Jianxin Zhu,A,Honorable Mention,986
Guangzhou,Qiushi Peng,A,Successful Participant,1546
Raleigh,Cammey C Manning,A,Honorable Mention,1363
Shanghai,Yanfen Cui,A,Successful Participant,474
Zhuhai,MengHong Bao,A,Successful Participant,1203
Durant,Karl H Frinkle,B,Successful Participant,10
Beijing,Yehui Huang,A,Successful Participant,964
Taiyuan,Xue Zhen,B,Honorable Mention,221
Merida,Eric Jose Avila,B,Honorable Mention,172
Jiaozuo City,Shunwei Xu,A,Honorable Mention,1038
Xuzhou,Song Xiaoqiu,A,Successful Participant,1226
Beijing,Yuantao Xie,D,Meritorious,179
Zhengzhou,Weibing Zuo,B,Successful Participant,1512
Huainan,Feng Xu,B,Successful Participant,682
Urbana,A J Hildebrand,A,Honorable Mention,220
Yancheng,Qin Liu,A,Successful Participant,908
jinan,hongfeng guo,A,Honorable Mention,291
Beijing,Hongjun Li,B,Honorable Mention,1299
Hangzhou,Chuankui Yan,D,Successful Participant,906
Nanjing,Kong Gao Hua,A,Successful Participant,393
Luâ€™an,Shi Minghua,D,Honorable Mention,794
Ningbo,Lihong Wang,B,Successful Participant,25
Changsha,Muzhou Hou,D,Honorable Mention,1378
Xiamen,Weifen Zhuang,C,Successful Participant,1250
Nanjing,Yiqian Wang,A,Successful Participant,816
Tianjin,Xiaochen Sun,A,Meritorious,1537
Harbin,XiLian Wang,A,Honorable Mention,1021
Beijing,Yi Qi,A,Honorable Mention,1566
Beijing,Yanbin Wang,A,Successful Participant,1191
Manhattan,David Auckly,A,Unsuccessful,466
Dalian,Shuqin Yang,A,Successful Participant,609
St. Louis,Brody D Johnson,B,Honorable Mention,929
Changsha,Zhaohui Yuan,C,Successful Participant,431
Wuyishan,Jinxiong Chen,B,Successful Participant,194
Bengbu,Chengwen Ma,A,Successful Participant,590
Xi'an,Feng Youqian,B,Successful Participant,1621
Beijing,Yun Jun Zhang,A,Successful Participant,1414
Guangzhou,Liling Xie,A,Honorable Mention,103
Haikou,Xingming Shu,A,Honorable Mention,616
Beijing,Yan Xu,A,Honorable Mention,1322
Beibei,Kai Hu,A,Successful Participant,294
Baoding,FENG SHI,B,Successful Participant,1307
Nantong,Xinsong Zhang,A,Successful Participant,791
Shanghai,Yanqin Bai,A,Successful Participant,474
Changchun,Xiuling Yao,A,Unsuccessful,44
Harbin,Jiebao Sun,D,Successful Participant,1021
Beijing,Chengzhang Wang,A,Meritorious,306
Shenyang,Hua Gong,A,Successful Participant,1334
Beijing,Jiang Chen,C,Successful Participant,1554
Bengbu,Xia Maosen,A,Successful Participant,590
Chongqing,Lei Zhang,A,Successful Participant,1592
Xi'an,Zhai Shi Mei,B,Successful Participant,1270
Jinhua,zheng lixian,B,Successful Participant,888
Xinxiang,Haiju Fan,A,Honorable Mention,773
Changchun,Huang Qingdao,B,Honorable Mention,658
Tianjin,Chunfu Jia,A,Successful Participant,169
Xi'an,Wang Zheng Yuan,A,Successful Participant,1270
Beijing,Ninghua Tong,A,Honorable Mention,571
Xi'an,Bo Zhang,D,Honorable Mention,146
Hangzhou,Xin Li,A,Meritorious,986
Beijing,Quandong Feng,A,Successful Participant,1547
Taiyuan,Yang Ming,A,Successful Participant,221
Shanghai,Yuandi Wang,A,Successful Participant,474
Xi'an,yuying wang,A,Honorable Mention,598
Lanzhou,Jianhua Guo,B,Successful Participant,862
Hangzhou,Shichang Zhan,B,Successful Participant,906
Jinan,Baodong LIU,A,Honorable Mention,366
Lanzhou,YiXin Zhang,A,Successful Participant,643
Tianjin,Ruikun Wang,A,Successful Participant,569
Hefei,Yiqi Luo,D,Successful Participant,776
Bengbu,Cai Xiaowei,A,Honorable Mention,590
Beijing,Peng Linping,B,Honorable Mention,1322
Beijing,Peiqing Liu,B,Honorable Mention,1566
Beibei,Tingyan Zhang,A,Successful Participant,294
Yantai,Lijuan Zhang,A,Successful Participant,93
Tianjin,Hua Yu,A,Honorable Mention,169
Beijing,Yong Lin,A,Successful Participant,1190
Xiamen,Jiao Lian Zu,A,Successful Participant,509
Jinan,Huan Yang,A,Successful Participant,1198
Jinan,Baodong Liu,A,Successful Participant,606
Dalian,Guoyan Chen,B,Successful Participant,609
Beijing,Hong Yin,A,Successful Participant,571
Harbin,Zhiqiang Chang,A,Successful Participant,1166
NanChang,Yi Gui Sheng,B,Honorable Mention,1642
Tianjin,Yongjiang Xue,B,Successful Participant,569
Changsha,Dianzhong Zhang,B,Meritorious,1378
é‡�åº†,tian xuequan,B,Successful Participant,1204
Harbin,Boying Wu,A,Successful Participant,1021
Changsha,Dan Wang,C,Successful Participant,183
Dalian,Rui Feng,B,Successful Participant,1503
Zibo,Shujiang Ding,A,Meritorious,352
Changchun,ji Shuguan,D,Honorable Mention,658
Shanghai,Qianfeng Tang,A,Successful Participant,413
Beijing,Baozeng Chu,A,Successful Participant,1600
Xi'an,Xie Xie,B,Successful Participant,958
HanZhong,Li Na,B,Successful Participant,16
Jiaozuo City,Jien Deng,B,Honorable Mention,1038
Xi'an,Yanmei Hu,A,Successful Participant,703
Shenyang,Yibing Wang,B,Successful Participant,1461
Wuhan,XUAN HUA SHI,C,Successful Participant,1255
Beijing,Guohui Li,A,Honorable Mention,1406
Cedar Rapids,Jonathan White,A,Successful Participant,480
Hangzhou,Jianxin Zhu,A,Successful Participant,986
Guangzhou,Yi Du,A,Honorable Mention,103
Shenyang,JIE SONG,B,Honorable Mention,1293
Wuhan,Xin Qi Hu,A,Successful Participant,977
Milledgeville,Darin Mohr,B,Successful Participant,471
Nanjing,Mingjing Cai,A,Successful Participant,467
Jiaozuo City,yanfang Wang,D,Honorable Mention,1038
Hengyang,Huang chonghui,B,Honorable Mention,1517
Beijing,Lin Li,A,Honorable Mention,628
Weihai,Bing Yang,A,Honorable Mention,314
Mianyang,Jin Yu,D,Honorable Mention,389
Beijing,Mei Lu,A,Successful Participant,951
Beijing,Hao Yu,A,Successful Participant,1322
Beijing,Yongjiang Guo,A,Honorable Mention,83
Shanghai,Tianxiang Du,C,Successful Participant,325
Mianyang,Wei Chen,C,Successful Participant,389
Xiâ€™an,shaoshuai du,D,Successful Participant,246
West Lafayette,Osvaldo H Campanella,D,Successful Participant,930
Xi'an,Xuewei Cui,D,Meritorious,790
Beijing,Wenbo Zhang,D,Successful Participant,1543
Jinan,Baodong Liu,A,Meritorious,366
Chengdu,Chuan Ding,C,Successful Participant,138
Harbin,Xiong Meng,A,Successful Participant,1021
Xi'an,Lei Chen,A,Successful Participant,598
TianJin,Xin Guan,A,Successful Participant,1167
chengdu,wei pan,A,Successful Participant,965
Carrollton,Scott Gordon,A,Successful Participant,923
Jacksonville,Han M Duong,B,Successful Participant,1269
FuYang,ge xin tong,A,Successful Participant,1200
Taiyuan,Xiao Yafeng,B,Successful Participant,221
Guangzhou,Guocan Feng,B,Successful Participant,1315
Xi'an,Youming Lei,D,Meritorious,790
Shenyang,Gong Jun,A,Honorable Mention,1482
Fuzhou,ZHONGHUI OU,B,Honorable Mention,1225
Beijing,ChongYan Gao,C,Honorable Mention,398
Hefei,Mei Dong,A,Successful Participant,836
Beijing,Huixia Mo,A,Meritorious,1519
Yancheng,Aihua Gu,A,Meritorious,908
Shanghai,Jiansheng Yang,A,Successful Participant,704
Beijing,Xingwu Zhang,B,Successful Participant,1443
Chongqing,Wei Zhu,B,Successful Participant,362
Jinan,Baodong LIU,B,Successful Participant,1349
Caoyang District,Xinhua JIANG,D,Honorable Mention,1458
Beijing,Hong Liu,D,Honorable Mention,398
shanghai,Qifen Jiang,A,Honorable Mention,515
Chengdu,Yanfei Jing,C,Honorable Mention,917
Beijing,Dongxu Gao,C,Honorable Mention,1414
Chengdu,Chongshuang Chen,C,Meritorious,486
Beijing,Lixia Zhi,D,Successful Participant,1018
Zibo,Mingwen Zheng,A,Honorable Mention,877
hangzhou,Lenian He,B,Honorable Mention,1465
GuangZhou,Yi Du,B,Successful Participant,59
Guangzhou,Yongkuan Cheng,B,Meritorious,580
Qingdao,Ge Ju,A,Successful Participant,32
Xinxiang,Haiju Fan,A,Successful Participant,257
Chongqing,Manman Li,A,Honorable Mention,231
Xi'an,Zhao Xuejun,D,Successful Participant,1621
Qingdao,Xinzeng Wang,A,Successful Participant,1244
Guangzhou,Feng Haolin,B,Honorable Mention,1315
Xinxiang,Haiju Fan,A,Successful Participant,773
Baoding,JingGang LIU,C,Honorable Mention,1307
Shanghai,Hong Chao,A,Successful Participant,1321
Mianyang,Kelong Zheng,A,Successful Participant,389
Shanghai,Xiaohua Wang,A,Honorable Mention,589
Shanghai,Tong Li,A,Honorable Mention,390
Nanjing,Song Zhao,D,Meritorious,236
Beijing,Nan Yao,B,Honorable Mention,1566
Beijing,Wenbo ZHANG,C,Successful Participant,1519
Hangzhou,Yuexia Huang,B,Successful Participant,906
Guangzhou,Zhenglu Jiang,D,Successful Participant,1315
Shanghai,Yiting Yang,C,Successful Participant,681
Shanghai,Fuping Tan,A,Successful Participant,704
Beijing,Yan Chen,D,Honorable Mention,109
Xi'an,Bo Zhang,A,Successful Participant,146
Beijing,Jing Wang,A,Successful Participant,861
Guiyang,Zhijun Hu,D,Honorable Mention,771
Qingdao,Sang Zhaoyang,A,Honorable Mention,32
WuHan,Yan Peisheng,C,Successful Participant,1061
NanJing,Hao Zhang,A,Successful Participant,523
Nanjing,Wang Qiong,A,Honorable Mention,893
Fushun,Hong Nie,A,Successful Participant,863
Hangzhou,Hua Jiukun,A,Successful Participant,255
Beibei,Yan Li,A,Honorable Mention,294
Beijing,Wendong Shi,B,Successful Participant,571
Shenyang,Dali Chen,A,Meritorious,1000
Shanghai,Hai Liu,D,Successful Participant,1181
